"V1","V2","V3","V4","V5"
"1",-0.931177766996798,-0.585347278205439,-0.470170618526518,-0.416035711776781,-0.373101171716768
"2",-0.81843889994933,-0.62515813943536,-0.443603688272532,-0.453510968197136,-0.363020372580026
"3",-0.758291315219967,-0.651456463673635,-0.389441988726816,-0.478832769562003,-0.332515934493613
"4",-0.729124377385501,-0.450603854122425,-0.203245930320326,-0.291174207641034,-0.257651976339719
"5",-0.798575286158129,-0.6406705209032,-0.414152843719549,-0.469564004523899,-0.348092651189437
"6",-0.776436675206062,-0.619223882003823,-0.428726468858465,-0.451417069501581,-0.393461911916318
"7",-0.734240896945982,-0.604713819908025,-0.377497670040159,-0.418432581628897,-0.306975491637053
"8",-0.734380828052766,-0.469040574819289,-0.223586707953721,-0.303019028178527,-0.235538395883915
"9",-0.777974303466015,-0.648440613376032,-0.400644020698401,-0.473161687369308,-0.341431951819187
"10",-0.729044766709997,-0.577825994196632,-0.351955346570014,-0.377108767742659,-0.267799348580258
"11",-0.793230580241844,-0.536094098950065,-0.32397979768253,-0.345373764498639,-0.285807118211789
"12",-0.716885816348107,-0.452429338837887,-0.20422743924706,-0.271416961906833,-0.214187527957896
"13",-0.737709435715226,-0.437943074052407,-0.189663741679089,-0.268754987312721,-0.245387278880316
"14",-0.726826517306836,-0.449176491915767,-0.190071701610784,-0.281277207170092,-0.230046154293495
"15",-0.715942683085762,-0.454167530570884,-0.204293278127439,-0.270791525828908,-0.21203583943052
"16",-0.707700468411221,-0.457104146554275,-0.213388118508971,-0.285589522150333,-0.2291993746004
"17",-0.729517968077804,-0.442320714379551,-0.186586015461748,-0.276124665421467,-0.237756597528251
"18",-0.723140812945544,-0.447106439159826,-0.183682892117399,-0.274009194049168,-0.222640307054767
"19",-0.712799268319844,-0.445813542280058,-0.194414776390294,-0.263491701015652,-0.215540641332288
"20",-0.701873399041873,-0.431100701814982,-0.203702123416085,-0.266658754941454,-0.228252931526524
